colour	showSelectedlegendcolour	fill	group
#F8766D	AllSoilM1M3	#F8766D	1
#F8766D	AllSoilM1M3	#F8766D	2
#F8766D	AllSoilM1M3	#F8766D	3
#F8766D	AllSoilM1M3	#F8766D	4
#F8766D	AllSoilM1M3	#F8766D	5
#F8766D	AllSoilM1M3	#F8766D	6
#F8766D	AllSoilM1M3	#F8766D	7
#F8766D	AllSoilM1M3	#F8766D	8
#F8766D	AllSoilM1M3	#F8766D	9
#F8766D	AllSoilM1M3	#F8766D	10
#F8766D	AllSoilM1M3	#F8766D	11
#F8766D	AllSoilM1M3	#F8766D	12
#F8766D	AllSoilM1M3	#F8766D	13
#F8766D	AllSoilM1M3	#F8766D	14
#F8766D	AllSoilM1M3	#F8766D	15
#F8766D	AllSoilM1M3	#F8766D	16
#F8766D	AllSoilM1M3	#F8766D	17
#F8766D	AllSoilM1M3	#F8766D	18
#F8766D	AllSoilM1M3	#F8766D	19
#F8766D	AllSoilM1M3	#F8766D	20
#F8766D	AllSoilM1M3	#F8766D	21
#F8766D	AllSoilM1M3	#F8766D	22
#F8766D	AllSoilM1M3	#F8766D	23
#00B0F6	LowMelanM1	#00B0F6	24
#00B0F6	LowMelanM1	#00B0F6	25
#00B0F6	LowMelanM1	#00B0F6	26
#00B0F6	LowMelanM1	#00B0F6	27
#00B0F6	LowMelanM1	#00B0F6	28
#00B0F6	LowMelanM1	#00B0F6	29
#00B0F6	LowMelanM1	#00B0F6	30
#00B0F6	LowMelanM1	#00B0F6	31
#00B0F6	LowMelanM1	#00B0F6	32
#00B0F6	LowMelanM1	#00B0F6	33
#00B0F6	LowMelanM1	#00B0F6	34
#00B0F6	LowMelanM1	#00B0F6	35
#A3A500	HighMelanM1	#A3A500	36
#A3A500	HighMelanM1	#A3A500	37
#A3A500	HighMelanM1	#A3A500	38
#A3A500	HighMelanM1	#A3A500	39
#A3A500	HighMelanM1	#A3A500	40
#A3A500	HighMelanM1	#A3A500	41
#A3A500	HighMelanM1	#A3A500	42
#A3A500	HighMelanM1	#A3A500	43
#A3A500	HighMelanM1	#A3A500	44
#A3A500	HighMelanM1	#A3A500	45
#A3A500	HighMelanM1	#A3A500	46
#E76BF3	LowMelanM3	#E76BF3	47
#E76BF3	LowMelanM3	#E76BF3	48
#E76BF3	LowMelanM3	#E76BF3	49
#E76BF3	LowMelanM3	#E76BF3	50
#E76BF3	LowMelanM3	#E76BF3	51
#E76BF3	LowMelanM3	#E76BF3	52
#E76BF3	LowMelanM3	#E76BF3	53
#E76BF3	LowMelanM3	#E76BF3	54
#E76BF3	LowMelanM3	#E76BF3	55
#E76BF3	LowMelanM3	#E76BF3	56
#E76BF3	LowMelanM3	#E76BF3	57
#00BF7D	HighMelanM3	#00BF7D	58
#00BF7D	HighMelanM3	#00BF7D	59
#00BF7D	HighMelanM3	#00BF7D	60
#00BF7D	HighMelanM3	#00BF7D	61
#00BF7D	HighMelanM3	#00BF7D	62
#00BF7D	HighMelanM3	#00BF7D	63
#00BF7D	HighMelanM3	#00BF7D	64
#00BF7D	HighMelanM3	#00BF7D	65
#00BF7D	HighMelanM3	#00BF7D	66
#00BF7D	HighMelanM3	#00BF7D	67
#00BF7D	HighMelanM3	#00BF7D	68
#00BF7D	HighMelanM3	#00BF7D	69
